id,name,url,Année,Boite de vitesses,Carburant,Carrosserie,Couleur,Date,Importé neuf,Kilométrage,Nombre de portes,Première main,Puissance fiscale,Voiture personnalisée (tuning),Véhicule dédouané,Véhicule en garantie
448014,Audi A3 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448014/audi-a3-.html,2022,Automatique,Essence,,,11-04-2025,Oui,34 000,5,Oui,14,,2022,
416090,Audi Q8 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/416090/audi-q8-.html,2021,Automatique,Essence,,,11-04-2025,Oui,34 000,5,Oui,24,,2021,
416133,Porsche Cayenne ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/416133/porsche-cayenne-.html,2015,Automatique,Diesel,,,11-04-2025,Oui,149 000,5,Oui,12,,2015,
452570,Porsche Cayenne ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/452570/porsche-cayenne-.html,2021,Automatique,Essence,,,11-04-2025,Oui,64 000,5,Oui,14,,2021,
452571,Audi Q8 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/452571/audi-q8-.html,2020,Automatique,Essence,,,11-04-2025,Oui,39 000,5,Oui,24,,2020,
457295,Land Rover Range Rover Vogue ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/457295/land-rover-range-rover-vogue-.html,2017,Automatique,Diesel,,,11-04-2025,,129 000,5,Oui,12,,2017,
457296,Mercedes Benz Classe Gle ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/457296/mercedes-benz-classe-gle-.html,2022,Automatique,Hybride,,,11-04-2025,,79 000,5,Oui,12,,2022,
460113,Mercedes Benz Classe Gle ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/460113/mercedes-benz-classe-gle-.html,2018,Automatique,Diesel,,,11-04-2025,Oui,119 000,5,Oui,12,,2018,
405844,Porsche Cayenne ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/405844/porsche-cayenne-.html,2022,Automatique,Essence,,,11-04-2025,Oui,34 000,5,Oui,23,,2022,
410751,Mercedes Benz Classe E Gris Nardo,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/410751/mercedes-benz-classe-e-gris-nardo.html,2024,Automatique,Hybride,Crossover,Blanc,11-04-2025,Oui,4 000,5,Oui,8,Oui,2024,3 Mois
458667,Bmw X5 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/458667/bmw-x5-.html,2021,Automatique,Diesel,,,11-04-2025,Oui,94 000,5,Oui,12,,2021,
394939,Mercedes Benz Classe Glc ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/394939/mercedes-benz-classe-glc-.html,2025,Automatique,Hybride,,,11-04-2025,Oui,4 000,5,Oui,8,,2025,
463054,Porsche Macan ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/463054/porsche-macan-.html,2019,Automatique,Essence,,,11-04-2025,Oui,94 000,5,Oui,11,,2019,
466964,Skoda Kamiq ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/466964/skoda-kamiq-.html,2021,Manuelle,Diesel,,,11-04-2025,,169 000,5,Oui,6,,2021,
466230,Hyundai Tucson ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/466230/hyundai-tucson-.html,2021,Automatique,Diesel,,,11-04-2025,,169 000,5,Oui,6,,2021,
465719,Seat Ateca ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/465719/seat-ateca-.html,2021,Automatique,Diesel,,,11-04-2025,,169 000,5,Oui,8,,2021,
468393,Skoda Kodiaq ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/468393/skoda-kodiaq-.html,2020,Automatique,Diesel,,,11-04-2025,,139 000,5,Oui,8,,2020,
463886,Ford C Max ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/463886/ford-c-max-.html,2019,Manuelle,Diesel,Monospace,Gris clair,10-04-2025,,126 000,5,Oui,6,Oui,,
464404,Mercedes Benz Classe C ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/464404/mercedes-benz-classe-c-.html,2020,Automatique,Diesel,,,11-04-2025,,99 000,5,Oui,8,,2020,
460190,Volkswagen Golf 8 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/460190/volkswagen-golf-8-.html,2021,Automatique,Diesel,,,11-04-2025,Oui,59 000,5,Oui,8,,2021,
466389,Seat Ateca ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/466389/seat-ateca-.html,2021,Automatique,Diesel,,,11-04-2025,,34 000,5,Oui,8,,2021,
466390,Mercedes Benz 220 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/466390/mercedes-benz-220-.html,2020,Automatique,Diesel,,,11-04-2025,Oui,99 000,5,Oui,8,,2020,
466391,Hyundai Tucson ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/466391/hyundai-tucson-.html,2021,Automatique,Diesel,,,11-04-2025,,89 000,5,,6,,2021,
448015,Porsche Cayenne ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448015/porsche-cayenne-.html,2018,Automatique,Essence,,,11-04-2025,Oui,24 000,5,Oui,14,,2018,
448016,Land Rover Range Rover Evoque ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448016/land-rover-range-rover-evoque-.html,2021,Automatique,Diesel,,,11-04-2025,Oui,119 000,5,Oui,8,,2021,
416115,Audi Q5 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/416115/audi-q5-.html,2022,Automatique,Diesel,,,11-04-2025,Oui,64 000,5,Oui,12,,2022,
416132,Land Rover Range Rover Sport ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/416132/land-rover-range-rover-sport-.html,2018,Automatique,Diesel,,,11-04-2025,Oui,99 000,5,Oui,12,,2018,
417275,Land Rover Range Rover Sport ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/417275/land-rover-range-rover-sport-.html,2016,Automatique,Diesel,,,11-04-2025,Oui,189 000,5,,12,,2016,
453888,Mini Cooper ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/453888/mini-cooper-.html,2017,Manuelle,Essence,,,11-04-2025,,59 000,3,Oui,9,,2017,
463124,Land Rover Discovery ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/463124/land-rover-discovery-.html,2021,Automatique,Diesel,,,11-04-2025,,99 000,5,Oui,8,,2021,
456245,Bmw Serie 3 Lounge,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/456245/bmw-serie-3-lounge.html,2020,Automatique,Diesel,Berline,Noir,11-04-2025,,149 000,5,Oui,8,,2020,
459393,Jaguar F Pace ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/459393/jaguar-f-pace-.html,2018,Automatique,Diesel,,,11-04-2025,,109 000,5,Oui,8,,2018,
460698,Fiat 500 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/460698/fiat-500-.html,2022,Automatique,Essence,,,11-04-2025,,54 000,3,Oui,7,,2022,
465827,Lexus Autre ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/465827/lexus-autre-.html,2023,Automatique,Hybride,,,11-04-2025,,49 000,5,Oui,14,,2023,
467620,Audi A5 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/467620/audi-a5-.html,2019,Automatique,Diesel,,,11-04-2025,,129 000,3,Oui,8,,2019,
466638,Bmw Serie 6 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/466638/bmw-serie-6-.html,2021,Automatique,Diesel,,,11-04-2025,,99 000,5,Oui,12,,2021,
467699,Bmw Serie 5 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/467699/bmw-serie-5-.html,2025,Automatique,Hybride,,,11-04-2025,,4 000,5,Oui,11,,2025,
452120,Dacia Sandero ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/452120/dacia-sandero-.html,2022,Manuelle,Diesel,,,11-04-2025,,74 000,5,Oui,6,,2022,
452128,Skoda Kamiq ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/452128/skoda-kamiq-.html,2021,Automatique,Diesel,,,10-04-2025,,189 000,5,Oui,6,,2021,
466474,Land Rover Range Rover Sport ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/466474/land-rover-range-rover-sport-.html,2018,Automatique,Diesel,,,11-04-2025,,119 000,5,,12,,2018,
468593,Porsche Autre ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/468593/porsche-autre-.html,2024,Automatique,Essence,,,11-04-2025,,4 000,3,Oui,27,,2024,
